Model,Params,MSE,MAE,RMSE,R2,feature_subset
RandomForest,"{'n_estimators': 200, 'max_depth': 15}",0.35681870039963726,0.45101471888516176,0.5973430341099135,0.8146896155567579,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
RandomForest,"{'n_estimators': 200, 'max_depth': 20}",0.20381821585680407,0.3396968704302239,0.4514623083456736,0.8941489560534298,"['days_since_election', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
RandomForest,"{'n_estimators': 50, 'max_depth': 10}",0.6226753035652431,0.5822821366207144,0.7890977782032105,0.6766195276263469,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
RandomForest,"{'n_estimators': 50, 'max_depth': 15}",0.35595305827319046,0.4495561266023794,0.5966180170537849,0.8151391785282682,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
RandomForest,"{'n_estimators': 50, 'max_depth': 20}",0.20543044276545325,0.33837780044589166,0.4532443521605683,0.893311661405148,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
RandomForest,"{'n_estimators': 100, 'max_depth': 10}",0.6221129411504992,0.5811367229668372,0.7887413651828458,0.6769115851758978,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
RandomForest,"{'n_estimators': 100, 'max_depth': 15}",0.35543411344175074,0.448582406759007,0.5961829529949265,0.8154086875705668,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
RandomForest,"{'n_estimators': 100, 'max_depth': 20}",0.20417270925055908,0.33772589407697673,0.45185474352999666,0.8939648532947858,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
RandomForest,"{'n_estimators': 200, 'max_depth': 10}",0.6221438075685449,0.5808653384932233,0.7887609318218956,0.6768955549964593,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
RandomForest,"{'n_estimators': 200, 'max_depth': 15}",0.3565256914981403,0.4503225351239787,0.5970977235747431,0.814841786931523,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
RandomForest,"{'n_estimators': 200, 'max_depth': 20}",0.20358035605457617,0.3391465708834751,0.4511987988177453,0.8942724862701619,"['days_since_election_2', 'seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'block_left', 'block_right', 'eu_anti_pro']"
