Model,Params,MSE_val,MAE_train,MAE_val,RMSE_train,RMSE_val,R2_train,R2_val,feature_subset
RandomForest,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",1.8825211650211973,0.6517857012691534,1.0857662276596514,0.9027879210236461,1.372049986342042,0.37635410491877597,-0.42754172832454296,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20}",2.149378767306552,0.5651811630674937,1.1464511615570163,0.7699300227254853,1.4660759759666455,0.5463620845782395,-0.6364704752788221,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",2.1268583966450363,0.5634294768692081,1.1440199688294963,0.7654377004301447,1.4583752591994408,0.5515457251704043,-0.6178590406456381,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",2.1507081751711854,0.5628516211106083,1.1482921394947536,0.7635320185118855,1.4665292957084715,0.5537586589993474,-0.6368463975164882,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",2.1326607252808443,0.5629121371046248,1.1456094783307527,0.7638669176233579,1.4603632169021665,0.5533909121715479,-0.6225862815379956,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 20}",2.1526656290391113,0.572242860006978,1.1483386600928822,0.7810261696985095,1.467196520251841,0.5332498915879111,-0.6433683392285574,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",2.1136174101236955,0.5700663132568088,1.1435525452440434,0.7772401729535735,1.4538285353244706,0.5377192106394765,-0.6090691293456776,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",2.1373828149443046,0.5696578654566831,1.1477680366490155,0.7753384891030315,1.461979074728604,0.539958381252737,-0.6269980834596137,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",2.1193546943018817,0.5697873664431433,1.1449736853252195,0.7759030875644521,1.4558003621039122,0.5393192401954849,-0.6125341002444795,"['days_since_election', 'seats']"
RandomForest,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 20}",2.0342981013986217,0.5758819681335217,1.1266287066260443,0.7959705676059826,1.42628822521909,0.5153355137953628,-0.5588901810988831,"['days_since_election', 'seats']"
