0,1
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'state_market']}"
"<Sequential name=sequential_20, built=True>","{'units': 5, 'epochs': 10, 'batch_size': 32, 'dropout_rate': 0.2, 'feature_subset': ['seats', 'government_status_coalition', 'government_status_opposition', 'government_status_support', 'state_market']}"
